"Datenerfassung";"Akustik";"Druck";"Weg";"Kraft";"Moment";"Temperatur";"Volumenstrom";"Beschleunigung";"Schwingungen";"Fuellstand";"sonstige"
"0184ebd9-988b-7bb9-a326-d2944e144a8c";"0184ebd9-988b-7bb9-a915-3ee40bcbe45e";"0184ebd9-988b-7bb9-aa19-1b8573bd0a50";"0184ebd9-988c-7bbb-90d4-1ba867e7a4fb";"0184ebd9-988c-7bbb-9599-8d7f6ace9cb8";"0184ebd9-988c-7bbb-9a0f-a7bbf99de92d";"0184ebd9-988c-7bbb-9f6d-fca5fbdfdd0a";"0184ebd9-988c-7bbb-a4c2-019b8f56f886";"0184ebd9-988c-7bbb-a891-8a8bf6829497";"0184ebd9-988c-7bbb-ac3a-c78b361fb67f";"0184ebd9-988c-7bbb-ac79-4b1dec38a47f";"0184ebd9-988c-7bbb-ae5b-ab2449533b60"
"0184ebd9-988b-7bb9-a354-d0869f6b23b9";"0184ebd9-988b-7bb9-a972-192bbcfb7845";"0184ebd9-988b-7bb9-aa48-34144ed09467";"0184ebd9-988c-7bbb-912c-4dafd9785826";"0184ebd9-988c-7bbb-95cd-c16f369c5d01";"0184ebd9-988c-7bbb-9a6a-75401a5c24dd";"0184ebd9-988c-7bbb-9f97-3d4137f83854";"0184ebd9-988c-7bbb-a51c-e65aaca3bd95";"0184ebd9-988c-7bbb-a8fe-96d1461f0d8f";"";"0184ebd9-988c-7bbb-ac9d-3cdc0a7a3f73";"0184ebd9-988c-7bbb-ae84-c21a48970ae3"
"0184ebd9-988b-7bb9-a3b0-efeec9048362";"0184ebd9-988b-7bb9-a98f-3cbd679d4fd2";"0184ebd9-988b-7bb9-aab3-4241ffa5be84";"0184ebd9-988c-7bbb-9150-b6128eabc0ec";"0184ebd9-988c-7bbb-9617-8e614e5f0e4f";"0184ebd9-988c-7bbb-9aba-382dd94e2995";"0184ebd9-988c-7bbb-9fd3-2e4d942666de";"0184ebd9-988c-7bbb-a546-22aba26c8ffa";"0184ebd9-988c-7bbb-a930-46c23194b559";"";"0184ebd9-988c-7bbb-ad21-680cbe29bb93";"0184ebd9-988c-7bbb-aef5-fa47b15b2270"
"0184ebd9-988b-7bb9-a3fb-fc3a2fbe3375";"0184ebd9-988b-7bb9-a9f3-2a3cfc1631c3";"0184ebd9-988b-7bb9-aace-33be8c477d2a";"0184ebd9-988c-7bbb-9195-5f66dbeb03da";"0184ebd9-988c-7bbb-964d-711052667695";"0184ebd9-988c-7bbb-9ad9-68552630c900";"0184ebd9-988c-7bbb-a007-58634e77e3fe";"0184ebd9-988c-7bbb-a5ad-7c21f529e072";"0184ebd9-988c-7bbb-a94b-60204eba860c";"";"0184ebd9-988c-7bbb-ad43-db028c682b41";"0184ebd9-988c-7bbb-af30-213f6384b602"
"0184ebd9-988b-7bb9-a412-9d0e49072b5f";"";"0184ebd9-988b-7bb9-ab3a-32835e001a30";"0184ebd9-988c-7bbb-9200-f21059801013";"0184ebd9-988c-7bbb-96a8-78c88744acf2";"0184ebd9-988c-7bbb-9b29-1a2d07e9868a";"0184ebd9-988c-7bbb-a055-2a292251c219";"0184ebd9-988c-7bbb-a5fb-79942abae701";"0184ebd9-988c-7bbb-a9bd-7b4d40e85fa8";"";"0184ebd9-988c-7bbb-ad99-d28b7faa9029";"0184ebd9-988c-7bbb-af7a-cd3b33ab25c7"
"0184ebd9-988b-7bb9-a45e-b09670d04d83";"";"0184ebd9-988b-7bb9-abbd-c811ee258dd1";"0184ebd9-988c-7bbb-9273-0f24db974e80";"0184ebd9-988c-7bbb-96c9-73a6972fe09e";"0184ebd9-988c-7bbb-9b70-58bf6d8520e6";"0184ebd9-988c-7bbb-a0af-6a7f56cd50c0";"0184ebd9-988c-7bbb-a634-b6384eba9543";"0184ebd9-988c-7bbb-a9ce-c48ae205a120";"";"0184ebd9-988c-7bbb-adcc-73931a91db81";"0184ebd9-988c-7bbb-af93-0edc3dede058"
"0184ebd9-988b-7bb9-a49d-3ef8baaaccb6";"";"0184ebd9-988b-7bb9-abdd-10d380488b52";"0184ebd9-988c-7bbb-92b0-b384b573414b";"0184ebd9-988c-7bbb-9770-edb6ba36b617";"0184ebd9-988c-7bbb-9bb3-7ccb05a7ad27";"0184ebd9-988c-7bbb-a0f7-ecdf704093e7";"0184ebd9-988c-7bbb-a66c-a9adbe820df8";"0184ebd9-988c-7bbb-aa0f-ab9fd418a706";"";"0184ebd9-988c-7bbb-ae08-ab1b335e4437";"0184ebd9-988c-7bbb-aff3-ad3601a1727b"
"0184ebd9-988b-7bb9-a4f6-023d7b029157";"";"0184ebd9-988b-7bb9-ac29-7d6e80d0ceeb";"0184ebd9-988c-7bbb-92ce-75543625f949";"0184ebd9-988c-7bbb-9794-3dce416ae94d";"0184ebd9-988c-7bbb-9bff-8e123c941a2e";"0184ebd9-988c-7bbb-a111-c74e982e5582";"0184ebd9-988c-7bbb-a6ac-c81b097e6c77";"0184ebd9-988c-7bbb-aa56-9f70b2e07302";"";"";"0184ebd9-988c-7bbb-b028-854e70b30215"
"0184ebd9-988b-7bb9-a512-6f3aac8c0502";"";"0184ebd9-988b-7bb9-ac58-3d794672b694";"0184ebd9-988c-7bbb-9333-9254e5ab4368";"0184ebd9-988c-7bbb-97cd-63e191335f56";"0184ebd9-988c-7bbb-9c16-6e12d91087f5";"0184ebd9-988c-7bbb-a146-12ca061a7648";"0184ebd9-988c-7bbb-a6cb-b47d32fc44bc";"0184ebd9-988c-7bbb-aa94-86bcba863603";"";"";"0184ebd9-988c-7bbb-b066-c41ccf733058"
"0184ebd9-988b-7bb9-a559-05d6d8a030f5";"";"0184ebd9-988b-7bb9-acb9-50cd802c4b3b";"0184ebd9-988c-7bbb-9368-c512c9bb6eac";"0184ebd9-988c-7bbb-9802-abdb21f0289c";"0184ebd9-988c-7bbb-9c46-8ccc5745e108";"0184ebd9-988c-7bbb-a1b0-b802659dc9ce";"0184ebd9-988c-7bbb-a73a-ff40db957b78";"0184ebd9-988c-7bbb-aae6-58c13bd70657";"";"";"0184ebd9-988c-7bbb-b0a8-e72507ed6eea"
